2025-12-26 19:24:13.928040 | ETHUSDT | 5m
2025-12-26 19:24:14.325134 | ETHUSDT | 15m
2025-12-26 19:24:14.718098 | ETHUSDT | 30m
2025-12-26 19:24:15.114990 | ETHUSDT | 1h
2025-12-26 19:24:15.507396 | SOLUSDT | 5m
2025-12-26 19:24:15.905337 | SOLUSDT | 15m
2025-12-26 19:24:16.301935 | SOLUSDT | 30m
2025-12-26 19:24:16.712282 | SOLUSDT | 1h
2025-12-26 19:24:17.097207 | BNBUSDT | 5m
2025-12-26 19:24:17.491771 | BNBUSDT | 15m
2025-12-26 19:24:17.894561 | BNBUSDT | 30m
2025-12-26 19:24:18.276822 | BNBUSDT | 1h
2025-12-26 19:24:18.670744 | XRPUSDT | 5m
2025-12-26 19:24:19.062968 | XRPUSDT | 15m
2025-12-26 19:24:19.482729 | XRPUSDT | 30m
2025-12-26 19:24:19.878857 | XRPUSDT | 1h
2025-12-26 19:24:20.280937 | ADAUSDT | 5m
2025-12-26 19:24:20.684475 | ADAUSDT | 15m
2025-12-26 19:24:21.379248 | ADAUSDT | 30m
2025-12-26 19:24:21.788437 | ADAUSDT | 1h
2025-12-26 19:24:22.206487 | AVAXUSDT | 5m
2025-12-26 19:24:22.600008 | AVAXUSDT | 15m
2025-12-26 19:24:22.993466 | AVAXUSDT | 30m
2025-12-26 19:24:23.412468 | AVAXUSDT | 1h
2025-12-26 19:24:23.816809 | LINKUSDT | 5m
2025-12-26 19:24:24.226408 | LINKUSDT | 15m
2025-12-26 19:24:24.641891 | LINKUSDT | 30m
2025-12-26 19:24:25.067002 | LINKUSDT | 1h
2025-12-26 19:24:25.465366 | OPUSDT | 5m
2025-12-26 19:24:25.883200 | OPUSDT | 15m
2025-12-26 19:24:26.310127 | OPUSDT | 30m
2025-12-26 19:24:26.733398 | OPUSDT | 1h
2025-12-26 19:24:27.137976 | ARBUSDT | 5m
2025-12-26 19:24:27.538499 | ARBUSDT | 15m
2025-12-26 19:24:27.944341 | ARBUSDT | 30m
2025-12-26 19:24:28.359265 | ARBUSDT | 1h
2025-12-26 19:25:11.059047 | BTCUSDT | 5m
2025-12-26 19:25:11.465429 | BTCUSDT | 15m
2025-12-26 19:25:11.859699 | BTCUSDT | 30m
2025-12-26 19:25:12.244513 | BTCUSDT | 1h
2025-12-26 19:25:12.700705 | ETHUSDT | 5m
